"","Factor","F_Value","P_Value"
"1","class       ",554.454516828137,1.26795140786119e-304
"2","A1SCHRON    ",331.964115659618,1.65515391369758e-71
"3","A1PRAGE_2019",183.390370545407,6.02886723608795e-41
"4","A1PRSEX     ",37.9240983525598,8.02761932007679e-10
"5","A1PB1       ",0.793641319243386,0.373051190688448
"6","A1SAGREE    ",119.179213459946,2.18259464217364e-27
"7","A1SEXTRA    ",68.5377384370171,1.64390144536885e-16
"8","A1SNEURO    ",72.703542603514,2.05890509825287e-17
"9","A1SCONS     ",65.9424930605505,6.00852799746856e-16
"10","A1SOPEN     ",8.20323091347605,0.00420184689381016
"11","Residuals   ",NA,NA
"12","class       ",693.793351845546,0
"13","A1SCHRON    ",667.754095102068,5.95080422073622e-137
"14","A1PRAGE_2019",181.645580732095,1.40929733423558e-40
"15","A1PRSEX     ",0.0070493754490606,0.933091716149078
"16","A1PB1       ",1.34304575059052,0.246562196450284
"17","A1SAGREE    ",86.1061368705801,2.64036353400747e-20
"18","A1SEXTRA    ",216.86098123726,6.39340120797843e-48
"19","A1SNEURO    ",903.309447518856,3.10272848393869e-180
"20","A1SCONS     ",4.02427739498423,0.0449126263591551
"21","A1SOPEN     ",9.53872202939835,0.00202470999325719
"22","Residuals   ",NA,NA
"23","class       ",374.932338556009,2.66950151160624e-216
"24","A1SCHRON    ",30.0403383737156,4.47388593160245e-08
"25","A1PRAGE_2019",74.4070480672833,8.8144736205302e-18
"26","A1PRSEX     ",3.25252525839828,0.0713835269816042
"27","A1PB1       ",90.0319339886222,3.76992249476891e-21
"28","A1SAGREE    ",185.431652411125,2.25587901684529e-41
"29","A1SEXTRA    ",105.452236321252,1.85964054832325e-24
"30","A1SNEURO    ",31.3116151636186,2.33431670798425e-08
"31","A1SCONS     ",47.3256844331675,6.87939501182635e-12
"32","A1SOPEN     ",168.922850031608,6.53769960415141e-38
"33","Residuals   ",NA,NA
"34","class       ",215.486106668198,3.20566061290355e-130
"35","A1SCHRON    ",60.8834646238367,7.55002651473655e-15
"36","A1PRAGE_2019",69.9238720233733,8.23224711682254e-17
"37","A1PRSEX     ",1.05009114051356,0.305543767361091
"38","A1PB1       ",162.910849867395,1.20147516457222e-36
"39","A1SAGREE    ",46.591695918221,9.9637794969112e-12
"40","A1SEXTRA    ",0.860952101966742,0.353524492538344
"41","A1SNEURO    ",3.81093422010668,0.0509838855170933
"42","A1SCONS     ",123.514619788435,2.60651333750735e-28
"43","A1SOPEN     ",1.58246276006351,0.208474646811487
"44","Residuals   ",NA,NA
"45","class       ",658.669419004291,0
"46","A1SCHRON    ",152.170035050715,2.20710441631617e-34
"47","A1PRAGE_2019",5.59393880793135,0.018066901456888
"48","A1PRSEX     ",0.383361419476678,0.535842553092839
"49","A1PB1       ",74.4137778419975,8.78498645303459e-18
"50","A1SAGREE    ",93.9580491895752,5.40472767068353e-22
"51","A1SEXTRA    ",102.303644500462,8.77616677494651e-24
"52","A1SNEURO    ",200.458337356437,1.63873010573536e-44
"53","A1SCONS     ",54.9990020419106,1.44490588307547e-13
"54","A1SOPEN     ",0.285386255428149,0.593220047045251
"55","Residuals   ",NA,NA
